Category,Group/Symbol,Side,Quantity,Price,Net Amount,Matched With,Status,P&L
Option,SOXL_260102,BUY,35,"$39.87","-$1,395.26",,Closed,-$1,395.26
Option,SOXL_260102,SELL,35,"$45.13","$1,579.65",,Closed,$1,579.65
Option,SOXL_260102,,,,, ,Net Position,$184.39
Option,NVDA_260109,BUY,8,"$119.80","-$958.36",,Closed,-$958.36
Option,NVDA_260109,SELL,8,"$247.20","$1,977.59",,Closed,$1,977.59
Option,NVDA_260109,,,,, ,Net Position,$1,019.23
Option,NVDA_260116,BUY,8,"$31.30","-$250.37",,Closed,-$250.37
Option,NVDA_260116,SELL,8,"$178.20","$1,425.58",,Closed,$1,425.58
Option,NVDA_260116,,,,, ,Net Position,$1,175.21
Option,NVDA_260123,SELL,4,"$86.13","$344.53",,Expired worthless,$344.53
Option,NVDA_260123,SELL,4,"$95.13","$380.53",,Expired worthless,$380.53
Option,NVDA_260123,,,,, ,Net Position,$725.06
Option,CRM_260130,BUY,2,"-$153.93","-$307.89",,Closed,-$307.89
Option,CRM_260130,SELL,2,"$91.13","$182.26",,Closed,$182.26
Option,CRM_260130,BUY,2,"$143.86","-$287.73",,Closed,-$287.73
Option,CRM_260130,SELL,2,"$228.05","$456.10",,Closed,$456.10
Option,CRM_260130,BUY,1,"$64.94","-$64.94",,Closed,-$64.94
Option,CRM_260130,SELL,1,"$181.05","$181.05",,Closed,$181.05
Option,CRM_260130,,,,, ,Net Position,$84.12
Option,FCX_260206,BUY,1,"$38.86","-$38.86",,Closed,-$38.86
Option,FCX_260206,SELL,1,"$116.05","$116.05",,Closed,$116.05
Option,FCX_260206,,,,, ,Net Position,$77.19
Option,GLD_260206,BUY,1,"$633.86","-$633.86",,Closed,-$633.86
Option,GLD_260206,SELL,1,"$728.05","$728.05",,Closed,$728.05
Option,GLD_260206,BUY,1,"$493.94","-$493.94",,Closed,-$493.94
Option,GLD_260206,SELL,1,"$118.13","$118.13",,Closed,$118.13
Option,GLD_260206,BUY,1,"$141.86","-$141.86",,Closed,-$141.86
Option,GLD_260206,SELL,1,"$568.05","$568.05",,Closed,$568.05
Option,GLD_260206,BUY,1,"$621.94","-$621.94",,Closed,-$621.94
Option,GLD_260206,SELL,1,"$534.13","$534.13",,Closed,$534.13
Option,GLD_260206,,,,, ,Net Position,$56.76
Option,NEM_260130,BUY,1,"$101.94","-$101.94",,Closed,-$101.94
Option,NEM_260130,SELL,1,"$151.05","$151.05",,Closed,$151.05
Option,NEM_260130,BUY,1,"$40.94","-$40.94",,Closed,-$40.94
Option,NEM_260130,SELL,1,"$27.05","$27.05",,Closed,$27.05
